"","Family Size","Males","Females","Natives","Not Natives","Male Occupation","Female Occupation","Born.slaves","Can.read","Can.write"
"1",3,1,2,2,1,"Watchman","Washer",1,1,1
"2",3,2,1,1,2,"1 lab 1 Waterman","Washer",0,1,1
"4",6,1,5,2,4,"drives dray","eating house",1,0,0
"5",7,5,2,6,1,"Barber","domestic duties",0,5,5
"7",4,3,1,2,2,"various kinds","washer",0,2,2
"9",3,1,2,1,2,"seaman","service",0,1,1
"15",3,1,2,1,2,"Stevedore","washer",0,1,1
"16",4,2,2,1,3,"1 waiter 1 seaman","washer",0,2,2
"17",2,1,1,1,1,"laborer","washer",0,1,1
"19",6,4,2,5,1,"temp sailor C. h","domestic duties",0,5,5
"20",2,1,1,0,2,"Stevedore","washer",1,0,0
"23",3,2,1,3,0,"waiter","cook",0,1,2
"26",2,1,1,0,2,"various","washer",1,1,0
"27",4,2,2,2,2,"seaman","washer",1,3,3
"29",2,1,1,0,2,"seaman","cook",0,0,0
"30",2,1,1,1,1,"laborer","days work",0,2,2
"31",2,1,1,0,2,"porter","days work",0,0,0
"33",3,2,1,1,2,"white washer","washer",1,0,0
"34",2,1,1,0,2,"Stevedore","washer",0,2,0
"35",2,1,1,0,2,"Stevedore","white washer",1,0,0
"37",4,13,0,1,3,"laborer","2 washers about 3.50 week",0,3,2
"44",4,1,3,0,4,"Porter","washer",0,2,0
"47",3,1,2,1,2,"Porter","days work",0,1,0
"49",5,1,4,3,2,"Laborer","washer",0,2,1
"54",6,3,3,5,1,"laborer","washer",0,2,0
"56",5,2,3,4,1,"Porter","washer",0,3,3
"61",4,1,3,3,1,"laborer","days work",1,2,1
"64",4,1,3,1,3,"porter","days work",1,0,0
"65",6,3,3,5,1,"laborerr","washer",0,4,4
"66",6,3,3,5,1,"laborer","washer",0,4,4
"67",2,1,1,1,1,"laborer","w.washer",0,1,0
"69",4,3,1,2,2,"waiter $12 per month","washer",0,2,0
"70",5,2,3,3,2,"cake seller","huxter",1,2,0
"71",5,4,1,2,3,"1 lab. 1 seaman","eating & C. house about $10 w",0,3,0
"73",7,2,5,5,2,"waiter $12 mo","washer $15 mo",0,3,1
"76",3,2,1,1,2,"lab. $6.00w","home duties",0,2,1
"79",2,1,1,2,0,"w. washer","days work",2,1,0
"81",4,2,2,1,3,"3 lab. 412w","days work",0,2,1
"82",4,3,1,2,2,"lab. $5.00w","days work average $1.00 per w",0,2,1
"83",3,2,1,0,3,"lab.","days work",1,1,0
"84",4,0,4,3,1,"lab.","1 wash. 1 dress m. 1 tailoress",0,4,4
"85",6,1,5,1,5,"laborer","washer",0,2,0
"86",3,1,2,1,2,"laborer $5.00w","domestic duties",2,3,1
